LOC_RES(SINAVE),LAT_DECIMAL,LON_DECIMAL
ABADIANO (LOS BAJOS),19.997591,-102.861637
ACACHUÉN,19.847863,-102.092577
ACALPICAN DE MORELOS,18.019125,-102.339397
ACÁMBARO,,
ACATÉN,19.291612,-101.310091
ACATEPEC,,
ACHOTÁN,18.747236,-103.594045
ACUCHA DE CAJONCITOS,19.146894,-100.668445
ACUITZERAMO,19.994134,-101.970868
ACÚMBARO,19.406062,-101.256603
ACÚMBARO,19.225688,-102.342626
ACÚMBARO,19.620848,-100.455074
ACÚMBARO (ACÚMBARO DE LAS PILAS),20.036132,-102.113833
AGUA BLANCA,19.391337,-101.655622
AGUA BLANCA,18.972264,-101.763016
AGUA BLANCA,19.786684,-101.697721
AGUA BLANCA,19.353597,-102.211088
AGUA BLANCA,19.479727,-100.49542
AGUA BLANCA,19.993611,-101.7475
AGUA BLANCA,19.277175,-101.278894
AGUA BLANCA,19.702581,-100.739538
AGUA BLANCA,20.06789,-102.367443
AGUA BLANCA (BARRANCA DEL TERESO),18.857454,-103.316918
AGUA BUENA,18.385164,-103.096337
AGUA BUENA,18.436008,-103.067299
AGUA BUENA,19.110843,-102.466846
AGUA CALIENTE,18.594722,-102.945833
AGUA CALIENTE,19.832064,-101.660796
AGUA CALIENTE,18.951766,-101.794942
AGUA CALIENTE,20.028557,-103.027635
AGUA CALIENTE,18.100833,-102.312222
AGUA CALIENTE,18.410914,-102.243345
AGUA CALIENTE,19.899474,-100.171614
AGUA CALIENTE,19.568333,-102.717199
AGUA CALIENTE,19.626698,-102.48373
AGUA CALIENTE,19.606121,-100.901512
AGUA CALIENTE,19.301944,-102.000833
AGUA CALIENTE,20.084452,-102.636112
AGUA CALIENTE,19.913611,-102.636944
AGUA DEL TEJÓN,18.339849,-103.45618
AGUA FRÍA,19.543944,-102.407454
AGUA FRÍA,19.381053,-101.380115
AGUA FRÍA,18.382934,-103.099987
AGUA FRÍA,19.084057,-101.91168
AGUA FRÍA,19.467337,-102.456593
AGUA FRÍA,18.133011,-102.351557
AGUA FRÍA,18.715532,-102.687314
AGUA FRÍA,19.633032,-101.008722
AGUA FRÍA,19.789677,-100.658492
AGUA FRÍA,19.25846,-101.083911
AGUA FRÍA,18.598062,-103.354333
AGUA FRÍA,18.745,-103.571944
AGUA FRÍA,18.686834,-103.603237
AGUA FRÍA,18.749,-100.87163
AGUA FRÍA,19.523712,-100.8172
AGUA FRÍA,19.043299,-100.590312
AGUA FRÍA,18.56817,-102.574725
AGUA FRÍA,18.488246,-102.756207
AGUA FRÍA,18.97416,-101.516282
AGUA FRÍA,19.136666,-100.551907
AGUA FRÍA,19.274748,-100.918638
AGUA SALADA,19.458984,-100.443403
AGUA SALADA,19.289668,-100.872934
AGUA ZARCA DE ORIENTE (EL CAZO),19.192057,-101.684259
AGUA ZARCA DEL SUR,19.101782,-101.738352
AGUACATE,18.64475,-103.099435
AGUACATE,18.448521,-102.852618
AGUACATES (EL AGUACATE),18.785887,-101.503839
AGUILILLA,18.734231,-102.788379
ÁLVARO OBREGÓN,19.826305,-101.038485
ÁLVARO OBREGÓN,19.042672,-102.970256
AMENGARÍCUARO,18.811997,-101.097504
ANGAHUAN,19.547652,-102.225094
ANGAMACUTIRO DE LA UNIÓN,20.149654,-101.708311
ANGAMIO,18.547812,-101.515918
ANGAO (ANGAO DE LOS HERRERA),18.678888,-100.785833
ANSIHUACUARO,20.202904,-101.808507
ANTÚNEZ (MORELOS),19.015547,-102.206646
ANTÚNEZ [CAMPO AGRÍCOLA EXPERIMENTAL],19.009444,-102.227499
APARANDÁN,18.769168,-101.005597
APATZINGÁN DE LA CONSTITUCIÓN,19.087227,-102.355264
APUTZIO DE JUÁREZ (SANTA MARÍA),19.342372,-100.348426
AQUILA,18.599138,-103.504754
AQUILES SERDÁN (SAN ÁNGEL),19.859995,-102.546814
AQUILES SERDÁN (SANTIAGUILLO),20.004382,-102.215389
ARAMÚTARO DE LUQUE,,
ARANJUEZ,20.131094,-101.755816
ARANJUEZ,19.857264,-100.981133
ARAPARÍCUARO,19.218317,-101.798852
ARARÓ,19.910614,-100.826434
ARIO DE RAYÓN (ARIO SANTA MÓNICA),20.026178,-102.344858
ARIO DE ROSALES,19.207807,-101.709394
ARRONJADERO (LA CUESTA),18.881288,-101.770984
ARROYO SECO,19.656891,-100.380621
ARROYO SECO,18.86907,-102.823911
ARROYO SECO,18.531969,-101.016006
ARROYO SECO,18.904444,-100.595833
ARROYO SECO,18.9025,-101.502778
ARROYO SECO,19.20361,-100.58388
ARTEAGA,18.355694,-102.290062
ARUA,18.54164,-100.927747
ARÚMBARO,19.881693,-101.193977
ARÚMBARO,19.604434,-100.987745
ATACHEO DE REGALADO,20.062667,-102.186738
ATAPAN,19.651055,-102.425799
ATAPANEO,19.739414,-101.116981
ATECUCARIO DE LA CONSTITUCIÓN (ATECUARIO),20.065467,-102.238284
ATOTONILCO EL ALTO,,
AYUMBA,19.749217,-102.621737
BAHÍA BUFADERO (CALETA DE CAMPOS),18.077741,-102.755523
BALCONES,19.249766,-101.033844
BARRA DE NEIXPA (ISLA DE NEIXPA),18.089048,-102.792909
BARRANCA DE REYES,18.514934,-103.565173
BARRANCA DEL OCOTE,18.773337,-103.411273
BARRANCA DEL PALMAR (BARRANCA DEL SALITRE),18.894895,-103.151619
BARRANCA DEL POTRERO (EL HIGUERAL),18.594327,-103.601527
BARRANCA DEL TERESO,18.802789,-103.309007
BARRANCA DEL TERESO,18.796111,-103.303889
BARRANCA HONDA,18.822707,-103.231031
BARRANCA HONDA,19.122877,-100.411025
BARRANCA HONDA,19.227514,-102.049853
BARRANCA HONDA,19.203611,-101.685277
BARRANCA HONDA,18.42611,-102.343611
BARRANCA HONDA,18.720731,-102.871642
BARRANCA HONDA,18.42726,-102.342403
BARRANCA HONDA,18.731231,-101.393738
BARRANCA HONDA,19.19505,-100.874086
BARRANCA HONDA,19.539462,-100.914205
BARRANCA HONDA,19.727709,-101.734976
BARRANCA OSCURA,18.850408,-103.335967
BARRANCA OSCURA,19.617671,-100.893392
BARRANCA SECA,18.530911,-103.002824
BARRANCA SECA,19.699144,-100.580371
BARRANCA SECA,18.15102,-102.685201
BARRANCA SECA,18.564783,-103.503931
BARRANCA SECA DE LARIOS,18.857778,-103.366111
BARRIO DE SANTIAGO,,
BARRIO SUSTENTABLE MONARCA (LAS CASITAS),19.615944,-100.298183
BAZTÁN DEL COBRE,18.745027,-101.165504
BEJAMA,18.389577,-103.413388
BEJUCALILLOS,18.954722,-100.702222
BEJUCALILLOS,19.096012,-100.660567
BELISARIO DOMÍNGUEZ,19.871754,-100.973518
BELLAS FUENTES (NUEVO CENTRO),18.744166,-102.007872
BENÍTEZ,,
BENITO JUÁREZ,19.218735,-102.679362
BENITO JUÁREZ,19.312276,-100.432791
BERNACHE,18.294882,-102.277276
BOCA DE APIZA,18.685044,-103.734908
BOCA SECA,18.04416,-102.583702
BOCANEO (SAN PEDRO),19.838495,-100.818439
BONIFACIO MORENO (EL AGUAJE),18.991195,-102.710458
BORDONAL,18.006014,-102.311186
BRILLANTE DE MIRAMAR,,
BRISEÑAS DE MATAMOROS,,
BUENA VISTA,18.739866,-103.100421
BUENA VISTA,18.404722,-100.600833
BUENA VISTA,19.404582,-101.19987
BUENA VISTA,19.931202,-102.169505
BUENA VISTA,18.61962,-103.375785
BUENAVISTA DE ZAPATA (EL ATORÓN),19.301998,-100.448986
BUENAVISTA TOMATLÁN,19.211735,-102.587891
BUENAVISTILLA (LA GARITA),19.088125,-102.627268
BUENAVISTITA (BUENAVISTA),18.25421,-102.260444
BUENOS AIRES,19.075991,-102.180837
BUENOS AIRES,18.249744,-102.739876
BUENOS AIRES,18.019592,-102.28625
BUENOS AIRES,19.071704,-101.148494
BUENOS AIRES,19.029614,-102.402818
BUENOS AIRES,19.82683,-101.352359
BUENOS AIRES,18.830117,-103.574874
CACHÁN DE ECHEVERRÍA,18.245761,-103.251626
CALICANTO,19.180854,-100.585046
CALICANTO,20.069753,-102.360585
CALICANTO,19.417638,-101.956947
CALLEJÓN DE LA CALERA,20.161578,-102.898453
CALTZONTZIN,19.429542,-102.005695
CAMÉMBARO,19.322486,-101.655706
CAMÉMBARO,19.834444,-100.711667
CAMÉMBARO,19.428294,-100.392821
CAMUCUATO,20.174734,-102.429839
CANCITA,18.944761,-102.295685
CANINDO,19.94,-102.243889
CANINDO,19.941325,-102.24466
CANOÍTAS,18.831144,-103.25348
CANOÍTAS,19.027503,-102.986003
CAÑA QUEMADA,,
CAPEO,18.529494,-101.038688
CAPIRE DE LOMBARDÍA (EL CAPIRI),19.12119,-102.015628
CARACHA,19.189052,-101.425525
CARACHA,19.433323,-101.922015
CARAMICUAS,18.695277,-101.046666
CARAMICUAS,19.08077,-101.47954
CARAMICUAS,18.783115,-101.509767
CARAPAN,19.860553,-102.038517
CARAPUATO,19.084213,-102.787861
CARNICERÍAS,19.291137,-101.139237
CASTRO URDIALES (PACANA),,
CATALINAS (FRANCISCO VILLA),19.095609,-102.579427
CEIBA SECA,18.723055,-100.778888
CEIBA SECA,18.572997,-100.845116
CEIBAS DE TRUJILLO,18.968,-100.632079
CELAYA,,
CENOBIO MORENO (LAS COLONIAS),19.095318,-102.503621
CERANO (SAN JUAN CERANO),,
CERRITO COLORADO,19.443272,-101.723514
CERRITO COLORADO,19.490555,-100.651667
CERRITO COLORADO,19.014454,-101.859784
CERRITO COLORADO,20.127087,-100.259669
CERRITO COLORADO,19.34394,-102.554071
CERRITO COLORADO,19.551406,-100.504286
CERRITO COLORADO,20.007357,-102.528392
CERRITO DE ÁLVAREZ,17.994819,-102.34917
CERRITO DE PESCADORES (EL TEPETATE),20.130769,-102.708715
CERRITO DEL MUERTO,19.487434,-100.471339
CERRITOS,19.690386,-101.337954
CERRITOS,19.611851,-100.857849
CERRITOS BLANCOS,,
CERRO AZUL,19.232571,-101.033756
CERRO AZUL,19.430894,-100.683609
CERRO AZUL,19.783765,-100.516536
CERRO BLANCO (CABUAYANA),19.286553,-101.269777
CERRO COLORADO,19.992091,-100.191508
CERRO COLORADO,19.316608,-100.465045
CERRO COLORADO,19.160463,-100.465549
CERRO COLORADO,19.452781,-101.989621
CERRO COLORADO,20.25355,-102.238173
CERRO DE ORTEGA,,
CERRO EL PAISANO,19.256111,-100.949166
CHACALA,18.450206,-103.451819
CHACALAPA DE COIRE,18.38325,-103.362722
CHANDIO (EJIDO LA CONCHA),19.088625,-102.409446
CHANGUITIRO,20.086944,-102.053056
CHANIRO (XHANIRO),19.705556,-102.436111
CHAPARACO,19.960314,-102.259754
CHAPULA,18.61,-102.910278
CHAPULA,18.604058,-102.901992
CHARAPENDO,19.263998,-102.066742
CHARO,19.74667,-101.046312
CHAVINDA,20.006939,-102.458585
CHEHUAYO CHICO (CHEHUAYITO),19.898253,-101.074824
CHERÁN,19.687651,-101.954816
CHIHUERO,18.69106,-100.873795
CHILCHOTA,19.849207,-102.119437
CHIPÍCUARO,19.138605,-101.402584
CHIQUIHUITILLO,19.008206,-102.344011
CHIQUIHUITILLO,18.323072,-102.410795
CHIQUITO EL GRANDE,19.019537,-101.534611
CHIRAGANGUEO,19.20041,-100.509666
CHUCÁNDIRO,19.899965,-101.333391
CHUCUTITÁN,18.023213,-102.466629
CHUÉN,19.28197,-101.739653
CHUMBÍTARO,18.481593,-100.701696
CHUMBÍTARO,19.328672,-100.420526
CHUPANGUÍO,19.31018,-101.866043
CHUPIO,19.180401,-101.446526
CHUPIO,19.669396,-100.434697
CHUQUIAPAN,18.052775,-102.606718
CHURINTZIO,20.15096,-102.065921
CHURINTZIO,19.971031,-102.465094
CHURUMUCO DE MORELOS,18.664558,-101.646552
CHUTA,18.04834,-102.556251
CIENEGUILLAS DE EN MEDIO,19.086626,-101.603852
CIENEGUILLAS DEL HUERTO (CIENEGUILLAS),19.091877,-101.585837
CINCO DE MAYO (EL LIMÓN),19.285814,-102.55911
CIUDAD HIDALGO,19.689351,-100.555161
CIUDAD HIDALGO 3,,
CIUDAD LÁZARO CÁRDENAS,17.962334,-102.197981
COAHUAYANA DE HIDALGO,18.702474,-103.662931
COAHUAYANA VIEJO,18.753075,-103.668411
COAHUAYUTLA DE GUERRERO,,
COALCOMÁN DE VÁZQUEZ PALLARES,18.777098,-103.159555
COAMEO CHICO,19.896789,-102.615187
COBANERA DE OSTULA,18.47678,-103.530286
CÓBANO,18.100036,-102.294427
